"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","LL Survey Index",0.07,0.07,1,NA,NA
"2","JPN LL Survey Index",0.07,0.07,1,NA,NA
"3","Fixed Gear Fishery CPUE",0.2,0.2,1,NA,NA
"4","Fixed Gear Fish Ages",NA,NA,0.12,145.15,16.94
"5","LL Survey Ages",NA,NA,0.38,171.43,65.69
"6","JPN LL Survey Ages",NA,NA,0.14,83.33,11.44
"7","Fixed Gear Fish Lengths",NA,NA,1,63.67,63.81
"8","Trawl Fish Lengths",NA,NA,0.23,45.39,10.38
"9","LL Survey Lengths",NA,NA,0.52,133.33,69.27
"10","JPN LL Survey Lengths",NA,NA,0.39,54.62,21.5
