"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","BS LL Survey Index",0.2,0.2,1,NA,NA
"2","AI LL Survey Index",0.24,0.24,1,NA,NA
"3","GOA LL Survey Index",0.08,0.08,1,NA,NA
"4","JPN LL Survey Index",0.07,0.07,1,NA,NA
"5","Fixed Gear Fish Ages",NA,NA,0.04,145.15,5.97
"6","BS LL Survey Ages",NA,NA,0.69,37.43,25.97
"7","AI LL Survey Ages",NA,NA,1.86,39.14,72.75
"8","GOA LL Survey Ages",NA,NA,0.3,77.14,22.91
"9","JPN LL Survey Ages",NA,NA,0.19,83.33,15.64
"10","Trawl Fish Lengths",NA,NA,0.14,45.39,6.41
"11","JPN LL Survey Lengths",NA,NA,0.33,54.62,17.94
